nom_estab,codigo_act,nombre_act,alcaldia,latitud,longitud,sector_v1
CENTRO INTERACTIVO MARIA G DE GARCIA RUIZ,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.38751884,-99.21059284,público
CENTRO INTERACTIVO TEPEACA,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.36018433,-99.23579714,público
CENTRO SOCIAL,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.38688868,-99.22012729,público
CENTRO SOCIAL CASA DEL PUEBLO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztacalco,19.39002444,-99.11379736,público
CENTRO SOCIAL COMUNITARIO,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Álvaro Obregón,19.38565714,-99.21597686,público
CENTRO SOCIAL CONCEPCION,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,La Magdalena Contreras,19.30361166,-99.23365779,público
CENTRO SOCIAL EL MOSCO CHINAMPAS 1,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztacalco,19.38913405,-99.10195717,público
CENTRO SOCIAL JAIME SABINES,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.29782065,-99.07635717,público
CENTRO SOCIAL JAVIER SOLIS,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Miguel Hidalgo,19.40078313,-99.18498201,público
CENTRO SOCIAL JUVENTINO ROSAS,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztacalco,19.39202157,-99.10917388,público
CENTRO SOCIAL LUCRECIA TORIS,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztapalapa,19.36285358,-99.11419307,público
CENTRO SOCIAL TLACOTAL,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Iztacalco,19.39620191,-99.10272927,público
CENTRO VLADY,624112,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público,Benito Juárez,19.37340237,-99.18475515,público
