stop_id,stop_name,grupo_stop_id
0100Z120-JACLAVE,José A. Clave,306
0100Z120-JACLAVE1,José A. Clave,307
0100Z120-PARADERRAZA,Paradero La Raza,308
0100Z120-PTE106,Poniente 106,309
0100Z120-PTE1122,Poniente 112,310
010C1511-PTE112EJCLC,Poniente 112 - Eje Central Lázaro Cardenas,311
0100Z120-PTE1121,Poniente 112,311
010C1510-EJCTRLCARDEN,Eje Central Lázaro Cardenas Retorno,311
0100Z120-PTE118,Poniente 118,312
0100Z120-LOPEZVELARD,López Velarde,313
0100Z120-IMSS,IMSS,314
0100Z120-LATEJE4,Lat. Eje 4,315
010C1510-EJLCEJ4NFORT,Eje Central Lázaro Cardenas - Eje 4 Norte Av. Fortuna,315
0100Z120-PTE128,Poniente 128,316
0100Z120-PAYSANDU,Paysandu,317
0100Z120-RICARTE,Ricarte,318
0100Z120-ANDADTOR17A,Andador 17-A,319
0100Z120-PTE134,Poniente 134,320
0100Z120-EJ5NTE,Eje 5 Norte,321
0100Z120-OTAVALO,Otavalo,322
0100Z120-MPOLITECNICO,Metro Politécnico,323
0100Z120-POLITECNICO,Politécnico,324
01ITEC10-MPOLI,Metro Politécnico ,325
0100Z120-DIANA,Diana,325
0100Z120-AVEJECTRAL,Av. Eje Central,326
0100Z120-SANTANA,Santa Ana,327
0100Z120-MGLBERNARD,Miguel Bernard,328
0100Z120-PLANSANLUIS1,Plan de San Luis,329
0100Z120-PLANSANLUIS2,Plan de San Luis,329
0100Z120-ESCTURISMO,Escuela de Turismo,330
0100Z120-TEMPLODIANA2,Templo Diana ,331
0100Z120-TEMPLODIANA1,Templo Diana ,331
0100Z120-CANTIL,Cantil,332
0100Z120-AVCUAUTEPEC,Av. Cuautepec,333
0100Z120-AVCIMA1,Av. Cima ,334
0100Z120-INSULA,Insula,335
0100Z120-ANDADOR28,Andador 28,336
0100Z120-RIOSNJAVIER,Río San Javier,337
0100C831-MTEBLNCALPES,Monte Blanco - De los Alpes,338
0100C810-PALMSGORDA,Paseo de las Palmas - Sierra Gorda,339
0100C831-CALIPSOPALMA,MontaNas Calizas - Paseo de las Palmas,339
0100C831-TECACALL19,Puente de Tecamachalco - Calle 19,340
0100C831-FTESANSULPIC,Av. de las Fuentes - Fuente de San Sulpicio,341
0100C831-FTEAGUILAS,Av. de las Fuentes - Fuente de las Aguilas,342
0100C831-FTEAPOLO,Av. de las Fuentes - Fuente de Apolo,343
0100C831-BSQSBLVDLUZ,Av. de los Bosques - Blvd. Bosque de la Luz,344
0100C830-BSQSBLVDLUZ,Av. de los Bosques - Blvd. de la Luz,344
0100C830-BSQSFCASTRO,Av. de los Bosques - Fuente de Castro,345
0100C831-BSQSFCASTRO,Av. de los Bosques - Fuente de Castro,345
0100C830-BSQSLOURDES,Av. de los Bosques - Fuente de Lourdes,346
0100C831-BSQSLOURDES,Av. de los Bosques - Fuentes de Lourdes,346
0100C830-BSQSALEGRIA,Av. de los Bosques - Fuente de Alegría,347
0100C831-BSQSALEGRIA,Av. de los Bosques - Fuente de Alegría,347
0100C830-BSQSFTEMPER,Av. de los Bosques - Fuente del Emperador,348
0100C831-BSQSEMPERAD,Av. de los Bosques - Fuente del Emperador,348
0100C830-TECAMACHALC,Base Tecamachalco Fuente de Troya,349
0100C831-TECAMACHALC,Base Tecamachalco Superama Anáhuac,349
0100C830-FTESNPEDRO,Av. de las Fuentes - Fuente de San Pedro,350
